Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Kyrgyz Republic,2009,Exporter Type,,Non-exporter,Average,15.3,88.2,...,14.1,1.3,...,...,5.8,...,14.0,37.9,...,...,...
Kyrgyz Republic,2009,Gender of Top Manager,,Top manager is female,Average,17.3,86.1,...,14.8,0.4,...,...,6.4,...,12.1,20.1,...,...,...
Kyrgyz Republic,2009,Gender of Top Manager,,Top manager is male,Average,15.6,86.6,...,17.3,2.1,...,...,4.9,...,17.3,42.9,...,...,...
Kyrgyz Republic,2009,Ownership Type,,Domestic,Average,15.4,98.8,...,0.0,2.1,...,...,6.3,...,14.1,37.9,...,...,...
Kyrgyz Republic,2009,Ownership Type,,10% or more foreign ownership,Average,18.8,25.4,...,100.0,0.0,...,...,0.0,...,28.7,36.7,...,...,...
Kyrgyz Republic,2013,,,,Average,12.6,82.2,...,24.4,1.1,...,...,0.0,...,28.0,31.3,...,...,...
Kyrgyz Republic,2013,Sector,Manufacturing,All,Average,13.7,84.6,...,18.8,1.4,...,...,0.0,...,27.8,31.1,...,...,...
Kyrgyz Republic,2013,Sector,Manufacturing,Manufacturing,Average,13.7,84.6,...,18.8,1.4,...,...,0.0,...,27.8,31.1,...,...,...
Kyrgyz Republic,2013,Sector,Services,All,Average,12.1,81.0,...,27.2,0.9,...,...,0.0,...,28.1,31.5,...,...,...
Kyrgyz Republic,2013,Sector,Services,Retail,Average,12.3,89.7,...,11.8,0.0,...,...,0.0,...,38.4,22.2,...,...,...
Kyrgyz Republic,2013,Sector,Services,Other Services,Average,12.0,79.6,...,29.7,1.1,...,...,0.0,...,26.4,32.9,...,...,...
Kyrgyz Republic,2013,Size,,Medium (20-99),Average,12.8,84.5,...,20.4,0.6,...,...,0.0,...,28.7,35.8,...,...,...
Kyrgyz Republic,2013,Size,,Small (5-19),Average,12.5,86.0,...,20.4,1.3,...,...,0.0,...,18.4,21.7,...,...,...
Kyrgyz Republic,2013,Size,,Large (100+),Average,12.4,68.2,...,43.3,2.1,...,...,0.0,...,45.8,39.8,...,...,...
Kyrgyz Republic,2013,Location,,Bishkek,Average,11.4,77.0,...,30.6,0.7,...,...,0.0,...,32.8,27.1,...,...,...
Kyrgyz Republic,2013,Location,,Chui And Talas,Average,16.8,93.7,...,10.5,0.0,...,...,0.0,...,18.4,48.9,...,...,...
Kyrgyz Republic,2013,Location,,Issyk - Kul,Average,16.1,93.4,...,13.8,0.0,...,...,0.0,...,14.1,37.8,...,...,...
Kyrgyz Republic,2013,Location,,Naryn ,Average,17.6,94.9,...,10.3,0.0,...,...,0.0,...,17.3,44.0,...,...,...
Kyrgyz Republic,2013,Location,,South,Average,13.5,93.6,...,9.4,4.8,...,...,0.0,...,17.9,33.9,...,...,...
Kyrgyz Republic,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,12.8,66.4,...,46.5,0.0,...,...,0.0,...,47.7,31.6,...,...,...
Kyrgyz Republic,2013,Exporter Type,,Non-exporter,Average,12.6,84.1,...,21.8,1.2,...,...,0.0,...,25.7,31.3,...,...,...
Kyrgyz Republic,2013,Gender of Top Manager,,Top manager is female,Average,11.3,90.5,...,17.6,0.0,...,...,0.0,...,24.8,31.1,...,...,...
Kyrgyz Republic,2013,Gender of Top Manager,,Top manager is male,Average,13.2,78.8,...,27.1,1.5,...,...,0.0,...,29.3,31.4,...,...,...
Kyrgyz Republic,2013,Ownership Type,,Domestic,Average,13.4,99.1,...,0.0,1.4,...,...,0.0,...,21.2,31.6,...,...,...
Kyrgyz Republic,2013,Ownership Type,,10% or more foreign ownership,Average,10.3,29.7,...,100.0,0.0,...,...,0.0,...,48.8,30.6,...,...,...
Cambodia,2013,,,,Average,11.6,88.5,...,15.3,0.2,...,...,83.3,...,9.5,16.8,...,...,...
Cambodia,2013,Sector,Manufacturing,All,Average,14.7,82.8,...,18.3,0.1,...,...,89.8,...,4.8,9.2,...,...,...
Cambodia,2013,Sector,Manufacturing,Food/Leather/Wood/Tobacco/Rubber Products,Average,16.1,96.9,...,4.0,0.2,...,...,96.3,...,3.8,1.2,...,...,...
Cambodia,2013,Sector,Manufacturing,Other Manufacturing,Average,13.6,71.7,...,29.4,0.0,...,...,84.8,...,5.5,15.4,...,...,...
Cambodia,2013,Sector,Services,All,Average,10.1,91.2,...,14.0,0.2,...,...,80.2,...,11.7,20.4,...,...,...
Cambodia,2013,Sector,Services,Services of Motor Vehicles/Wholesale/Retail,Average,10.9,87.4,...,23.3,0.2,...,...,82.0,...,30.0,42.3,...,...,...
Cambodia,2013,Sector,Services,Hospitality & Tourism,Average,9.8,94.5,...,7.3,0.0,...,...,85.4,...,1.1,5.9,...,...,...
Cambodia,2013,Sector,Services,Other Services,Average,8.8,86.1,...,14.9,1.9,...,...,37.3,...,5.0,15.2,...,...,...
Cambodia,2013,Size,,Medium (20-99),Average,11.6,84.0,...,21.5,0.5,...,...,74.6,...,10.5,15.6,...,...,...
Cambodia,2013,Size,,Small (5-19),Average,11.7,95.0,...,8.7,0.0,...,...,86.7,...,8.6,14.2,...,...,...
Cambodia,2013,Size,,Large (100+),Average,9.9,31.9,...,69.8,1.1,...,...,65.8,...,17.3,45.4,...,...,...
Cambodia,2013,Location,,Battambang,Average,11.8,99.1,...,0.6,0.3,...,...,96.5,...,4.5,55.1,...,...,...
Cambodia,2013,Location,,Kampong Cham,Average,17.1,98.8,...,2.0,0.0,...,...,93.4,...,5.9,1.1,...,...,...
Cambodia,2013,Location,,Phnom Penh,Average,11.7,85.0,...,20.2,0.2,...,...,79.4,...,11.8,16.1,...,...,...
Cambodia,2013,Location,,Siem Reap,Average,9.1,93.4,...,8.2,0.0,...,...,89.3,...,5.1,6.9,...,...,...
Cambodia,2013,Location,,Sihanouk Ville,Average,9.2,96.6,...,3.4,0.0,...,...,89.7,...,1.2,5.4,...,...,...
Cambodia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,9.5,29.2,...,72.7,1.6,...,...,60.7,...,17.4,40.7,...,...,...
Cambodia,2013,Exporter Type,,Non-exporter,Average,11.7,91.7,...,12.2,0.1,...,...,84.7,...,9.1,15.6,...,...,...
Cambodia,2013,Ownership Type,,Domestic,Average,12.1,99.8,...,0.0,0.2,...,...,88.5,...,9.2,12.9,...,...,...
Cambodia,2013,Ownership Type,,10% or more foreign ownership,Average,8.5,25.8,...,100.0,0.4,...,...,54.4,...,11.4,38.3,...,...,...
Cambodia,2016,,,,Average,13.2,93.4,...,4.5,0.0,...,...,93.9,...,5.2,10.6,...,...,...
Cambodia,2016,Sector,Manufacturing,All,Average,14.4,90.5,...,8.2,0.0,...,...,93.6,...,4.5,20.2,...,...,...
Cambodia,2016,Sector,Manufacturing,Manufacturing,Average,14.4,90.5,...,8.2,0.0,...,...,93.6,...,4.5,20.2,...,...,...
Cambodia,2016,Sector,Services,All,Average,12.8,94.3,...,3.2,0.0,...,...,94.0,...,5.5,7.5,...,...,...
Cambodia,2016,Sector,Services,Retail,Average,13.3,99.4,...,0.4,0.0,...,...,97.5,...,6.3,10.8,...,...,...
Cambodia,2016,Sector,Services,Other Services,Average,12.7,92.5,...,4.2,0.0,...,...,92.7,...,5.2,6.3,...,...,...
Cambodia,2016,Size,,Small (5-19),Average,13.1,95.5,...,2.1,0.0,...,...,95.5,...,5.1,7.6,...,...,...
Cambodia,2016,Size,,Medium (20-99),Average,14.1,93.2,...,4.4,0.0,...,...,87.8,...,2.9,9.6,...,...,...
Cambodia,2016,Size,,Large (100+),Average,12.0,49.0,...,55.6,0.3,...,...,85.3,...,18.6,73.0,...,...,...
Cambodia,2016,Location,,Coastal,Average,11.3,79.0,...,1.0,0.2,...,...,78.6,...,10.8,18.0,...,...,...
Cambodia,2016,Location,,Mountains,Average,13.6,99.3,...,0.1,0.0,...,...,98.2,...,0.1,10.4,...,...,...
Cambodia,2016,Location,,Phnom Penh,Average,12.7,92.2,...,6.4,0.0,...,...,92.5,...,4.6,6.3,...,...,...
Cambodia,2016,Location,,Plains,Average,16.6,91.8,...,6.1,0.0,...,...,96.9,...,5.9,8.0,...,...,...
Cambodia,2016,Location,,Tonle Sap,Average,12.7,99.6,...,0.6,0.0,...,...,98.3,...,6.3,22.3,...,...,...
Cambodia,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,15.7,85.0,...,9.8,0.0,...,...,90.9,...,7.1,17.3,...,...,...
Cambodia,2016,Exporter Type,,Non-exporter,Average,13.0,94.2,...,3.9,0.0,...,...,94.2,...,5.0,9.8,...,...,...
Cambodia,2016,Gender of Top Manager,,Top manager is female,Average,13.1,92.2,...,4.9,0.0,...,...,92.5,...,6.9,10.8,...,...,...
Cambodia,2016,Gender of Top Manager,,Top manager is male,Average,13.3,94.4,...,4.3,0.0,...,...,95.2,...,3.5,11.2,...,...,...
Cambodia,2016,Ownership Type,,Domestic,Average,13.3,97.5,...,0.0,0.0,...,...,94.3,...,5.2,8.6,...,...,...
Cambodia,2016,Ownership Type,,10% or more foreign ownership,Average,10.9,6.2,...,100.0,0.3,...,...,84.4,...,6.1,50.8,...,...,...
St. Kitts and Nevis,2010,,,,Average,17.6,84.8,...,18.8,0.0,...,...,34.4,...,19.4,66.3,...,...,...
St. Kitts and Nevis,2010,Sector,Manufacturing,All,Average,22.3,80.4,...,21.3,0.0,...,...,31.2,...,7.6,55.1,...,...,...
St. Kitts and Nevis,2010,Sector,Manufacturing,Manufacturing,Average,22.3,80.4,...,21.3,0.0,...,...,31.2,...,7.6,55.1,...,...,...
St. Kitts and Nevis,2010,Sector,Services,All,Average,16.8,85.6,...,18.4,0.0,...,...,34.9,...,21.5,68.3,...,...,...
St. Kitts and Nevis,2010,Sector,Services,Services,Average,16.8,85.6,...,18.4,0.0,...,...,34.9,...,21.5,68.3,...,...,...
St. Kitts and Nevis,2010,Size,,Small (5-19),Average,15.8,87.9,...,14.5,0.0,...,...,43.4,...,13.7,56.2,...,...,...
St. Kitts and Nevis,2010,Size,,Medium (20-99),Average,19.5,81.2,...,25.5,0.0,...,...,17.9,...,32.6,85.8,...,...,...
St. Kitts and Nevis,2010,Size,,Large (100+),Average,35.0,60.3,...,39.8,0.0,...,...,9.9,...,19.9,80.1,...,...,...
St. Kitts and Nevis,2010,Location,,Entire Country,Average,17.6,84.8,...,18.8,0.0,...,...,34.4,...,19.4,66.3,...,...,...
St. Kitts and Nevis,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,17.3,81.2,...,26.7,0.0,...,...,11.0,...,47.6,72.7,...,...,...
St. Kitts and Nevis,2010,Exporter Type,,Non-exporter,Average,17.9,85.8,...,16.9,0.0,...,...,38.5,...,15.8,66.1,...,...,...
St. Kitts and Nevis,2010,Gender of Top Manager,,Top manager is female,Average,13.7,75.4,...,31.2,0.0,...,...,42.5,...,21.1,53.7,...,...,...
St. Kitts and Nevis,2010,Gender of Top Manager,,Top manager is male,Average,18.7,87.3,...,15.5,0.0,...,...,32.2,...,19.0,69.5,...,...,...
St. Kitts and Nevis,2010,Ownership Type,,Domestic,Average,19.2,99.3,...,0.0,0.0,...,...,40.1,...,17.1,64.4,...,...,...
St. Kitts and Nevis,2010,Ownership Type,,10% or more foreign ownership,Average,10.5,22.5,...,100.0,0.0,...,...,11.5,...,25.7,72.7,...,...,...
Lao PDR,2009,,,,Average,12.4,94.7,...,5.8,0.6,...,...,98.0,...,7.2,3.4,...,...,...
Lao PDR,2009,Sector,Manufacturing,All,Average,15.2,94.1,...,7.0,0.1,...,...,97.2,...,5.4,3.0,...,...,...
Lao PDR,2009,Sector,Manufacturing,Manufacturing,Average,15.2,94.1,...,7.0,0.1,...,...,97.2,...,5.4,3.0,...,...,...
Lao PDR,2009,Sector,Services,All,Average,11.1,94.9,...,5.2,0.9,...,...,98.3,...,8.0,3.6,...,...,...
Lao PDR,2009,Sector,Services,Retail,Average,13.2,98.4,...,1.6,0.0,...,...,99.4,...,8.8,1.1,...,...,...
Lao PDR,2009,Sector,Services,Other Services,Average,10.4,93.6,...,6.6,1.2,...,...,97.9,...,7.7,4.5,...,...,...
Lao PDR,2009,Size,,Small (5-19),Average,12.1,97.0,...,3.0,0.0,...,...,99.8,...,5.2,2.2,...,...,...
Lao PDR,2009,Size,,Medium (20-99),Average,13.8,91.1,...,10.4,2.6,...,...,92.7,...,10.4,6.8,...,...,...
Lao PDR,2009,Size,,Large (100+),Average,11.9,64.0,...,39.0,3.8,...,...,87.6,...,38.4,10.0,...,...,...
Lao PDR,2009,Location,,Champasack,Average,12.1,98.1,...,1.9,0.4,...,...,99.6,...,3.8,0.9,...,...,...
Lao PDR,2009,Location,,Luang Prabang,Average,9.9,98.2,...,2.2,0.0,...,...,98.0,...,1.4,1.4,...,...,...
Lao PDR,2009,Location,,Savannakhet,Average,12.1,97.4,...,2.7,0.3,...,...,98.4,...,27.2,1.4,...,...,...
Lao PDR,2009,Location,,Vientiane,Average,13.0,92.7,...,7.9,0.9,...,...,97.5,...,4.5,4.7,...,...,...
Lao PDR,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,11.4,62.1,...,41.2,0.0,...,...,95.8,...,25.6,18.7,...,...,...
Lao PDR,2009,Exporter Type,,Non-exporter,Average,12.4,95.4,...,5.0,0.7,...,...,98.0,...,6.8,3.1,...,...,...
Lao PDR,2009,Ownership Type,,Domestic,Average,12.6,99.9,...,0.0,0.2,...,...,99.5,...,5.5,2.7,...,...,...
Lao PDR,2009,Ownership Type,,10% or more foreign ownership,Average,9.1,8.8,...,100.0,7.7,...,...,73.6,...,35.4,14.8,...,...,...
Lao PDR,2012,,,,Average,12.1,91.9,...,9.0,0.8,...,...,92.1,...,11.6,33.4,...,...,...
Lao PDR,2012,Sector,Manufacturing,All,Average,12.6,87.6,...,14.2,1.0,...,...,88.9,...,11.5,35.6,...,...,...
Lao PDR,2012,Sector,Manufacturing,Manufacturing,Average,12.6,87.6,...,14.2,1.0,...,...,88.9,...,11.5,35.6,...,...,...
Lao PDR,2012,Sector,Services,All,Average,11.8,94.2,...,6.0,0.7,...,...,93.9,...,11.7,32.1,...,...,...
Lao PDR,2012,Sector,Services,Retail,Average,14.6,98.5,...,1.5,0.0,...,...,98.3,...,2.8,26.8,...,...,...
Lao PDR,2012,Sector,Services,Other Services,Average,10.7,92.6,...,7.8,1.0,...,...,92.2,...,15.2,34.2,...,...,...
Lao PDR,2012,Size,,Small (5-19),Average,11.1,97.7,...,2.2,0.3,...,...,94.8,...,5.9,20.0,...,...,...
Lao PDR,2012,Size,,Medium (20-99),Average,13.2,89.8,...,12.5,1.2,...,...,89.8,...,18.7,50.3,...,...,...
Lao PDR,2012,Size,,Large (100+),Average,14.4,63.4,...,38.9,3.1,...,...,83.4,...,25.7,62.1,...,...,...
Lao PDR,2012,Location,,Champasak,Average,10.5,100.0,...,0.0,0.0,...,...,96.5,...,8.9,15.8,...,...,...
Lao PDR,2012,Location,,Khammouane,Average,11.0,94.1,...,6.1,1.6,...,...,89.6,...,3.9,19.6,...,...,...
Lao PDR,2012,Location,,Luang Namtha,Average,9.8,95.5,...,4.5,0.0,...,...,100.0,...,18.7,22.4,...,...,...
Lao PDR,2012,Location,,Luang Prabang,Average,13.2,100.0,...,0.0,0.0,...,...,100.0,...,15.1,13.4,...,...,...
Lao PDR,2012,Location,,Savannakhet,Average,15.1,94.8,...,6.6,0.0,...,...,92.4,...,15.4,51.1,...,...,...
Lao PDR,2012,Location,,Vte Capital,Average,13.0,82.7,...,19.3,1.0,...,...,88.8,...,15.8,56.4,...,...,...
Lao PDR,2012,Exporter Type,,Direct exports are 10% or more of sales,Average,12.2,86.0,...,15.0,0.0,...,...,84.6,...,18.7,49.7,...,...,...
Lao PDR,2012,Exporter Type,,Non-exporter,Average,12.0,93.2,...,7.6,1.0,...,...,93.8,...,10.3,29.8,...,...,...
Lao PDR,2012,Gender of Top Manager,,Top manager is female,Average,10.9,98.1,...,3.5,0.0,...,...,98.3,...,7.4,26.2,...,...,...
Lao PDR,2012,Gender of Top Manager,,Top manager is male,Average,12.6,88.9,...,11.6,1.2,...,...,89.2,...,13.7,36.6,...,...,...
Lao PDR,2012,Ownership Type,,Domestic,Average,12.2,99.7,...,0.0,0.6,...,...,95.4,...,9.7,30.2,...,...,...
Lao PDR,2012,Ownership Type,,10% or more foreign ownership,Average,11.0,12.2,...,100.0,3.4,...,...,61.1,...,31.8,62.9,...,...,...
Lao PDR,2016,,,,Average,13.3,92.6,...,7.3,0.4,...,...,97.8,...,1.0,33.3,...,...,...
Lao PDR,2016,Sector,Manufacturing,All,Average,13.2,90.2,...,10.3,0.1,...,...,95.7,...,1.5,38.4,...,...,...
Lao PDR,2016,Sector,Manufacturing,Manufacturing,Average,13.2,90.2,...,10.3,0.1,...,...,95.7,...,1.5,38.4,...,...,...
Lao PDR,2016,Sector,Services,All,Average,13.3,93.2,...,6.6,0.4,...,...,98.3,...,0.9,32.1,...,...,...
Lao PDR,2016,Sector,Services,Retail,Average,15.5,96.9,...,3.0,0.1,...,...,99.6,...,0.2,37.1,...,...,...
Lao PDR,2016,Sector,Services,Other Services,Average,12.1,91.2,...,8.6,0.6,...,...,97.6,...,1.3,29.4,...,...,...
Lao PDR,2016,Size,,Small (5-19),Average,13.3,94.0,...,6.0,0.0,...,...,99.2,...,0.5,32.6,...,...,...
Lao PDR,2016,Size,,Medium (20-99),Average,12.4,82.3,...,18.1,1.5,...,...,86.9,...,3.8,37.5,...,...,...
Lao PDR,2016,Size,,Large (100+),Average,16.5,66.4,...,30.2,15.4,...,...,71.0,...,21.4,55.4,...,...,...
Lao PDR,2016,Location,,Central,Average,11.8,96.5,...,3.4,0.1,...,...,99.0,...,0.5,38.5,...,...,...
Lao PDR,2016,Location,,North,Average,14.4,93.7,...,6.8,0.2,...,...,96.1,...,3.4,14.2,...,...,...
Lao PDR,2016,Location,,South,Average,15.5,84.2,...,15.9,0.3,...,...,98.5,...,0.4,24.9,...,...,...
Lao PDR,2016,Location,,Vientiane,Average,13.4,91.6,...,8.2,0.7,...,...,97.1,...,0.9,37.0,...,...,...
Lao PDR,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,11.5,70.8,...,29.6,0.0,...,...,95.6,...,1.6,36.1,...,...,...
Lao PDR,2016,Exporter Type,,Non-exporter,Average,13.3,93.3,...,6.7,0.4,...,...,97.8,...,1.0,33.3,...,...,...
Lao PDR,2016,Gender of Top Manager,,Top manager is female,Average,12.7,96.8,...,3.2,0.0,...,...,99.8,...,0.1,35.6,...,...,...
Lao PDR,2016,Gender of Top Manager,,Top manager is male,Average,13.7,89.2,...,10.7,0.7,...,...,96.1,...,1.9,31.5,...,...,...
Lao PDR,2016,Ownership Type,,Domestic,Average,13.5,99.8,...,0.0,0.2,...,...,98.6,...,0.6,34.6,...,...,...
Lao PDR,2016,Ownership Type,,10% or more foreign ownership,Average,10.8,2.1,...,100.0,2.4,...,...,87.4,...,6.4,17.7,...,...,...
Lebanon,2013,,,,Average,21.9,98.0,...,2.7,0.0,...,...,26.7,...,13.1,85.0,...,...,...
Lebanon,2013,Sector,Manufacturing,All,Average,25.1,97.7,...,2.7,0.0,...,...,29.8,...,20.5,84.6,...,...,...
Lebanon,2013,Sector,Manufacturing,Food,Average,24.0,97.8,...,2.7,0.0,...,...,30.7,...,20.0,94.8,...,...,...
Lebanon,2013,Sector,Manufacturing,Manufacturing,Average,25.7,97.6,...,2.6,0.0,...,...,29.3,...,20.7,79.7,...,...,...
Lebanon,2013,Sector,Services,All,Average,20.8,98.1,...,2.7,0.0,...,...,25.5,...,10.5,85.2,...,...,...
Lebanon,2013,Sector,Services,Wholesale & Retail,Average,22.3,98.2,...,2.4,0.0,...,...,27.7,...,8.1,83.6,...,...,...
Lebanon,2013,Sector,Services,Other Services,Average,16.2,98.0,...,3.6,0.0,...,...,18.9,...,17.7,90.0,...,...,...
Lebanon,2013,Size,,Small (5-19),Average,20.7,98.9,...,1.5,0.0,...,...,34.8,...,3.6,79.8,...,...,...
Lebanon,2013,Size,,Medium (20-99),Average,21.3,96.1,...,5.0,0.0,...,...,15.1,...,25.0,94.6,...,...,...
Lebanon,2013,Size,,Large (100+),Average,37.3,98.1,...,2.3,0.0,...,...,2.3,...,54.0,91.2,...,...,...
Lebanon,2013,Location,,Beirut,Average,24.2,95.6,...,7.0,0.0,...,...,13.8,...,21.0,94.6,...,...,...
Lebanon,2013,Location,,Bekaa Valley,Average,24.3,98.6,...,0.9,0.0,...,...,44.9,...,16.6,84.8,...,...,...
Lebanon,2013,Location,,Mount Lebanon,Average,19.8,98.4,...,1.7,0.0,...,...,12.8,...,12.4,86.6,...,...,...
Lebanon,2013,Location,,Nabatieh,Average,20.7,100.0,...,0.0,0.0,...,...,64.7,...,14.6,77.6,...,...,...
Lebanon,2013,Location,,North Lebanon,Average,22.5,99.0,...,1.0,0.0,...,...,25.6,...,8.2,96.7,...,...,...
Lebanon,2013,Location,,South Lebanon,Average,25.2,99.6,...,0.6,0.0,...,...,78.1,...,2.1,64.0,...,...,...
Lebanon,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,25.2,97.0,...,3.5,0.0,...,...,16.7,...,16.6,84.6,...,...,...
Lebanon,2013,Exporter Type,,Non-exporter,Average,20.3,98.3,...,2.5,0.0,...,...,32.0,...,10.8,83.4,...,...,...
Lebanon,2013,Gender of Top Manager,,Top manager is female,Average,14.9,100.0,...,0.0,0.0,...,...,3.1,...,15.5,99.1,...,...,...
Lebanon,2013,Gender of Top Manager,,Top manager is male,Average,22.3,97.9,...,2.8,0.0,...,...,27.8,...,13.0,84.4,...,...,...
Lebanon,2013,Ownership Type,,Domestic,Average,21.7,99.9,...,0.0,0.0,...,...,27.7,...,11.3,84.6,...,...,...
Lebanon,2013,Ownership Type,,10% or more foreign ownership,Average,22.0,27.3,...,100.0,0.0,...,...,0.6,...,50.3,61.4,...,...,...
Liberia,2009,,,,Average,8.5,88.9,...,10.7,1.7,...,...,77.8,...,2.4,21.6,...,...,...
Liberia,2009,Sector,Manufacturing,All,Average,8.3,91.0,...,9.4,0.3,...,...,81.6,...,0.3,8.4,...,...,...
Liberia,2009,Sector,Manufacturing,Manufacturing,Average,8.3,91.0,...,9.4,0.3,...,...,81.6,...,0.3,8.4,...,...,...
Liberia,2009,Sector,Services,All,Average,8.5,87.9,...,11.3,2.4,...,...,75.9,...,3.4,28.1,...,...,...
Liberia,2009,Sector,Services,Services,Average,8.5,87.9,...,11.3,2.4,...,...,75.9,...,3.4,28.1,...,...,...
Liberia,2009,Size,,Small (5-19),Average,7.8,89.9,...,9.4,1.7,...,...,80.3,...,2.0,19.8,...,...,...
Liberia,2009,Size,,Medium (20-99),Average,16.1,78.8,...,24.2,0.0,...,...,48.9,...,5.6,51.5,...,...,...
Liberia,2009,Size,,Large (100+),Average,21.1,61.6,...,43.5,16.8,...,...,16.8,...,20.0,52.2,...,...,...
Liberia,2009,Location,,Margibi,Average,6.0,99.7,...,0.0,0.0,...,...,97.6,...,0.0,0.0,...,...,...
Liberia,2009,Location,,Montserrado,Average,9.2,86.9,...,12.8,0.2,...,...,75.9,...,1.2,30.5,...,...,...
Liberia,2009,Location,,Nimba,Average,7.0,91.6,...,7.7,7.4,...,...,76.6,...,7.4,0.0,...,...,...
Liberia,2009,Exporter Type,,Non-exporter,Average,8.5,88.9,...,10.7,1.7,...,...,77.8,...,2.4,21.6,...,...,...
Liberia,2009,Gender of Top Manager,,Top manager is female,Average,10.7,91.6,...,4.6,25.2,...,...,25.2,...,25.2,48.1,...,...,...
Liberia,2009,Gender of Top Manager,,Top manager is male,Average,11.0,66.6,...,37.7,1.1,...,...,1.5,...,3.3,41.5,...,...,...
Liberia,2009,Ownership Type,,Domestic,Average,7.9,98.3,...,0.0,1.9,...,...,83.3,...,2.5,18.0,...,...,...
Liberia,2009,Ownership Type,,10% or more foreign ownership,Average,13.3,10.1,...,100.0,0.0,...,...,31.4,...,1.3,50.6,...,...,...
St. Lucia,2010,,,,Average,14.3,85.3,...,18.9,0.0,...,...,70.6,...,0.6,44.6,...,...,...
St. Lucia,2010,Sector,Manufacturing,All,Average,19.6,92.3,...,12.0,0.0,...,...,49.2,...,4.1,49.9,...,...,...
St. Lucia,2010,Sector,Manufacturing,Manufacturing,Average,19.6,92.3,...,12.0,0.0,...,...,49.2,...,4.1,49.9,...,...,...
St. Lucia,2010,Sector,Services,All,Average,13.4,84.0,...,20.1,0.0,...,...,74.3,...,0.0,43.7,...,...,...
St. Lucia,2010,Sector,Services,Services,Average,13.4,84.0,...,20.1,0.0,...,...,74.3,...,0.0,43.7,...,...,...
St. Lucia,2010,Size,,Small (5-19),Average,12.3,85.6,...,16.2,0.0,...,...,85.7,...,0.0,40.3,...,...,...
St. Lucia,2010,Size,,Medium (20-99),Average,19.1,87.6,...,19.7,0.0,...,...,39.3,...,2.3,55.1,...,...,...
St. Lucia,2010,Size,,Large (100+),Average,17.9,66.2,...,55.8,0.0,...,...,19.0,...,0.0,50.0,...,...,...
St. Lucia,2010,Location,,Entire Country,Average,14.3,85.3,...,18.9,0.0,...,...,70.6,...,0.6,44.6,...,...,...
St. Lucia,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,17.1,88.4,...,18.0,0.0,...,...,59.8,...,2.6,44.0,...,...,...
St. Lucia,2010,Exporter Type,,Non-exporter,Average,13.4,84.3,...,19.2,0.0,...,...,73.9,...,0.0,44.8,...,...,...
St. Lucia,2010,Gender of Top Manager,,Top manager is female,Average,16.3,87.4,...,14.7,0.0,...,...,55.2,...,1.3,37.0,...,...,...
St. Lucia,2010,Gender of Top Manager,,Top manager is male,Average,13.7,84.6,...,20.2,0.0,...,...,75.3,...,0.4,47.0,...,...,...
St. Lucia,2010,Ownership Type,,Domestic,Average,13.4,100.0,...,0.0,0.0,...,...,77.5,...,0.8,41.4,...,...,...
St. Lucia,2010,Ownership Type,,10% or more foreign ownership,Average,18.0,22.2,...,100.0,0.0,...,...,41.0,...,0.0,58.3,...,...,...
Sri Lanka,2011,,,,Average,23.2,97.6,...,3.7,0.2,...,...,65.7,...,9.1,60.3,...,...,...
Sri Lanka,2011,Sector,Manufacturing,All,Average,22.2,98.3,...,2.7,0.3,...,...,69.2,...,8.4,49.2,...,...,...
Sri Lanka,2011,Sector,Manufacturing,Food,Average,28.2,98.7,...,2.0,0.8,...,...,69.2,...,13.5,64.5,...,...,...
Sri Lanka,2011,Sector,Manufacturing,Garments,Average,16.2,99.9,...,0.1,0.0,...,...,75.2,...,6.2,47.6,...,...,...
Sri Lanka,2011,Sector,Manufacturing,Other Manufacturing,Average,20.1,97.8,...,3.4,0.0,...,...,68.3,...,6.1,41.6,...,...,...
Sri Lanka,2011,Sector,Services,All,Average,24.4,96.8,...,4.8,0.1,...,...,62.1,...,9.7,72.6,...,...,...
Sri Lanka,2011,Sector,Services,Retail,Average,19.3,98.0,...,3.3,0.0,...,...,64.8,...,13.7,83.8,...,...,...
Sri Lanka,2011,Sector,Services,Other Services,Average,28.3,95.8,...,6.0,0.1,...,...,60.0,...,6.6,64.5,...,...,...
Sri Lanka,2011,Size,,Small (5-19),Average,21.9,98.4,...,2.2,0.0,...,...,75.0,...,4.6,54.2,...,...,...
